Date,Ticker,Shares,Open,High,Low,Close,Volume,Value
2025-09-11,ERA.AX,700000,0.003,0.003,0.002,0.002,74176,1750.00
2025-09-11,PTR.AX,9412,0.320,0.320,0.305,0.310,168964,2917.72
2025-09-11,VML.AX,6000,0.200,0.200,0.180,0.190,154604,1140.00
2025-09-11,WBC.AX,0,38.180,38.190,37.740,37.950,3035430,0.00
2025-09-11,WDS.AX,1288,24.990,25.150,24.820,25.070,3846992,32290.16
2025-09-12,ALK.AX,153181,1.030,1.065,1.020,1.035,4086040,158542.33
2025-09-12,AMP.AX,70000,1.705,1.730,1.690,1.690,3467975,118300.00
2025-09-12,ASM.AX,57458,0.540,0.545,0.530,0.530,184476,30452.74
2025-09-12,BHP.AX,16327,40.620,40.890,40.460,40.810,5093254,666304.89
2025-09-12,CAN.AX,44090,0.010,0.011,0.010,0.011,1590924,484.99
2025-09-12,CBA.AX,0,167.410,170.000,167.360,169.970,1236459,0.00
2025-09-12,CNB.AX,10000,0.305,0.305,0.290,0.305,211647,3050.00
2025-09-12,E25.AX,20000,0.295,0.315,0.285,0.300,1054289,6000.00
2025-09-12,ERA.AX,700000,0.002,0.002,0.002,0.002,121041,1750.00
2025-09-12,PTR.AX,9412,0.310,0.310,0.305,0.305,98105,2870.66
2025-09-12,VML.AX,6000,0.195,0.195,0.180,0.188,91996,1125.00
2025-09-12,WBC.AX,0,38.200,38.560,38.100,38.480,7567953,0.00
2025-09-12,WDS.AX,1288,25.000,25.020,24.140,24.220,6196737,31195.36
2025-09-15,ALK.AX,153181,1.040,1.055,0.990,1.030,5306262,157776.43
2025-09-15,AMP.AX,70000,1.690,1.810,1.675,1.800,8070660,126000.00
2025-09-15,ASM.AX,57458,0.530,0.540,0.525,0.525,282659,30165.45
2025-09-15,BHP.AX,16327,40.750,40.850,40.375,40.580,4485886,662549.69
2025-09-15,CAN.AX,44090,0.011,0.012,0.010,0.011,735063,484.99
2025-09-15,CBA.AX,0,168.690,168.980,167.740,168.900,1867293,0.00
2025-09-15,CNB.AX,10000,0.305,0.325,0.300,0.320,8065097,3200.00
2025-09-15,E25.AX,20000,0.300,0.315,0.300,0.305,324756,6100.00
2025-09-15,ERA.AX,700000,0.003,0.003,0.002,0.002,1514966,1750.00
2025-09-15,PTR.AX,9412,0.300,0.310,0.300,0.300,190415,2823.60
2025-09-15,VML.AX,6000,0.190,0.200,0.175,0.190,162424,1140.00
2025-09-15,WBC.AX,0,38.400,38.820,38.270,38.730,2907211,0.00
2025-09-15,WDS.AX,1288,24.250,24.330,24.000,24.210,3427037,31182.48
2025-09-16,ALK.AX,153181,1.040,1.065,1.010,1.015,3772234,155478.71
2025-09-16,AMP.AX,70000,1.775,1.805,1.775,1.800,7551642,126000.00
2025-09-16,ASM.AX,57458,0.530,0.535,0.525,0.530,120215,30452.74
2025-09-16,BHP.AX,16327,40.920,41.140,40.770,40.770,7464437,665651.80
2025-09-16,CAN.AX,44090,0.011,0.012,0.010,0.010,446043,440.90
2025-09-16,CBA.AX,0,169.100,169.130,167.780,168.330,1390961,0.00
2025-09-16,CNB.AX,10000,0.340,0.355,0.320,0.330,1001857,3300.00
2025-09-16,E25.AX,20000,0.305,0.310,0.300,0.300,326013,6000.00
2025-09-16,ERA.AX,700000,0.002,0.002,0.002,0.002,1006650,1750.00
2025-09-16,PTR.AX,9412,0.315,0.315,0.305,0.305,149859,2870.66
2025-09-16,VML.AX,6000,0.190,0.200,0.190,0.190,52218,1140.00
2025-09-16,WBC.AX,0,38.820,39.130,38.660,39.030,3939168,0.00
2025-09-16,WDS.AX,1288,24.070,24.360,24.060,24.280,3206340,31272.64
2025-09-17,ALK.AX,153181,1.000,1.048,1.000,1.025,3302744,157010.52
2025-09-17,AMP.AX,70000,1.790,1.815,1.785,1.790,7298340,125300.00
2025-09-17,ASM.AX,57458,0.540,0.575,0.530,0.570,951884,32751.06
2025-09-17,BHP.AX,16327,40.420,40.620,40.135,40.310,7379291,658141.39
2025-09-17,CAN.AX,44090,0.011,0.011,0.010,0.011,806315,484.99
2025-09-17,CBA.AX,0,168.420,169.165,167.895,168.150,1613610,0.00
2025-09-17,CNB.AX,10000,0.330,0.330,0.305,0.310,325119,3100.00
2025-09-17,E25.AX,20000,0.300,0.300,0.292,0.300,237789,6000.00
2025-09-17,ERA.AX,700000,0.002,0.003,0.002,0.003,325456,2100.00
2025-09-17,PTR.AX,9412,0.305,0.320,0.305,0.310,161320,2917.72
2025-09-17,VML.AX,6000,0.195,0.195,0.175,0.180,45010,1080.00
2025-09-17,WBC.AX,0,38.800,38.960,38.640,38.640,4435654,0.00
